city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
52,Mil'kovo,RU,1610067961,54.7167,158.6167,1.02,1.02,91,92,1.23
53,Vila,PT,1610067962,42.0304,-8.1588,30.11,37.0,93,0,1.14
54,Jacqueville,CI,1610067963,5.2052,-4.4146,80.6,80.6,83,20,3.44
55,East London,ZA,1610067964,-33.0153,27.9116,70.07,70.07,82,17,14.2
56,Mineros,BO,1610067966,-17.1167,-63.2333,77.0,77.0,88,40,8.05
57,Faya,SA,1610067967,18.3851,42.4509,52.66,53.6,93,0,6.91
58,San Luis,AR,1610067969,-33.295,-66.3356,72.34,72.34,32,0,3.74
59,Hobart,AU,1610067841,-42.8794,147.3294,72.91,78.01,56,20,12.66
60,Henties Bay,NA,1610067972,-22.116,14.2845,68.0,68.0,88,100,6.06
61,Tual,ID,1610067973,-5.6667,132.75,83.55,83.55,75,77,11.32
62,Souillac,MU,1610067974,-20.5167,57.5167,75.2,75.2,69,20,4.61
63,Mataura,NZ,1610067975,-46.1927,168.8643,60.01,60.01,72,66,11.01
64,Moose Factory,CA,1610067976,51.2585,-80.6094,-1.28,-0.4,85,1,2.3
65,Mareeba,AU,1610067978,-17.0,145.4333,88.3,90.0,74,0,6.91
66,Barrow,US,1610067979,71.2906,-156.7887,-11.2,-11.2,77,90,4.61
67,Kushiro,JP,1610067980,42.975,144.3747,24.8,24.8,68,75,14.97
68,Rudnichnyy,RU,1610067981,59.617,52.4703,7.27,7.27,96,100,4.47
69,San Patricio,US,1610067982,28.017,-97.5169,56.23,60.8,38,20,8.05
70,Kavaratti,IN,1610067984,10.5669,72.642,81.7,81.7,71,84,1.68
71,Taltal,CL,1610067985,-25.4,-70.4833,65.32,65.32,74,0,5.37
72,Virovitica,HR,1610067986,45.8319,17.3839,33.01,33.01,95,100,5.03
73,Nanortalik,GL,1610067987,60.1432,-45.2371,37.04,37.04,95,100,7.36
74,Faanui,PF,1610067989,-16.4833,-151.75,81.0,81.0,73,0,14.07
75,Guerrero Negro,MX,1610067990,27.9769,-114.0611,64.0,64.0,39,0,10.58
76,Esperance,AU,1610067991,-33.8667,121.9,73.4,73.4,49,4,19.57
77,Khorramshahr,IR,1610067992,30.4397,48.1664,48.2,48.2,87,0,5.28
78,Majene,ID,1610067994,-3.5403,118.9707,76.19,76.19,89,100,8.43
79,Lebu,CL,1610067996,-37.6167,-73.65,55.18,55.18,73,67,21.27
80,Pisco,PE,1610067998,-13.7,-76.2167,69.46,69.8,83,0,13.8
81,Kangaatsiaq,GL,1610067999,68.3065,-53.4641,7.54,7.54,93,100,7.67
82,Anadyr,RU,1610068000,64.75,177.4833,-20.09,-20.0,76,0,6.71
83,Soledade,BR,1610068002,-28.8183,-52.5103,65.95,65.95,87,90,1.81
84,Kamaishi,JP,1610068003,39.2667,141.8833,21.2,21.2,93,75,5.75
85,Chaupāl,IN,1610068004,30.95,77.5833,33.64,33.64,75,0,4.09
86,Saskylakh,RU,1610068005,71.9167,114.0833,-20.15,-20.15,87,89,7.45
87,Beba,CU,1610068006,22.4437,-79.7253,71.6,71.6,78,40,4.61
88,Turukhansk,RU,1610068008,65.8167,87.9833,-17.3,-17.3,89,100,13.47
89,Atbasar,KZ,1610068009,51.8,68.3333,-23.4,-23.4,86,30,1.63
90,Derzhavīnsk,KZ,1610068010,51.1,66.3167,-18.8,-18.8,83,0,6.38
91,Bethel,US,1610067957,41.3712,-73.414,28.09,28.99,69,1,5.75
92,Coquimbo,CL,1610068012,-29.9533,-71.3436,59.0,59.0,88,40,8.05
93,Ankang,CN,1610068014,32.68,109.0172,29.05,29.05,58,0,1.59
94,Logansport,US,1610068015,40.7545,-86.3567,32.83,33.8,80,90,5.75
95,Nikolskoye,RU,1610068016,59.7035,30.7861,23.92,24.8,86,75,11.18
96,Kaka,TM,1610068017,37.3482,59.6143,28.4,28.4,85,0,9.1
97,Chokurdakh,RU,1610068018,70.6333,147.9167,-13.16,-13.16,90,93,7.14
98,Fare,PF,1610068020,-16.7,-151.0167,80.91,80.91,70,13,8.81
99,Ketchikan,US,1610068021,55.3422,-131.6461,42.8,42.8,87,90,16.11
100,Port Moresby,PG,1610068022,-9.4431,147.1797,87.8,87.8,66,40,6.91
101,Mocuba,MZ,1610068023,-16.8392,36.9856,74.39,74.39,96,17,0.92
102,High Prairie,CA,1610068025,55.4334,-116.4858,23.0,23.0,68,100,11.5
103,Kailua,US,1610068026,21.4022,-157.7394,78.48,82.4,69,40,9.44
104,Shingū,JP,1610068027,33.7333,135.9833,33.8,33.8,47,75,19.57
105,Nueva Loja,EC,1610068028,0.0847,-76.8828,72.39,72.39,94,100,1.28
106,Nabire,ID,1610068029,-3.3667,135.4833,86.47,86.47,63,99,1.74
107,Numan,NG,1610068031,9.4667,12.0333,72.64,72.64,21,93,1.16
108,Takoradze,GH,1610068032,4.8845,-1.7554,79.18,79.18,87,12,8.5
109,Mahébourg,MU,1610068033,-20.4081,57.7,75.2,75.2,69,20,4.61
110,Kapaa,US,1610068034,22.0752,-159.319,78.37,78.8,69,1,5.75
111,Clyde River,CA,1610068035,70.4692,-68.5914,-18.4,-18.4,69,40,3.44
112,Te Anau,NZ,1610068038,-45.4167,167.7167,60.26,60.26,56,1,4.12
